epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.9265,1.35892,2.29423,1.59285,0.14359,0.28953,0.10764,0.05778,1.86994,9.71632,2.27313,0.00047322,0.00047322,0.00047322
2,179.168,1.60155,2.2379,1.75133,0.01538,0.39344,0.01376,0.00701,1.79704,106.556,2.37367,0.000930752,0.000930752,0.000930752
3,267.512,1.6036,2.24111,1.7378,0.53356,0.1814,0.14646,0.08022,1.76862,3.49508,2.04109,0.00136942,0.00136942,0.00136942
4,361.394,1.55124,2.17236,1.7265,0.68153,0.27012,0.28125,0.16388,1.5281,2.48461,1.85972,0.00134412,0.00134412,0.00134412
5,454.85,1.49155,2.01602,1.66617,0.52307,0.21605,0.20804,0.13007,1.57535,2.25862,1.83684,0.00131582,0.00131582,0.00131582
6,543.116,1.43015,1.92358,1.62271,0.37625,0.32321,0.29757,0.18842,1.4316,1.9141,1.75619,0.00128753,0.00128753,0.00128753
7,637.739,1.40727,1.83899,1.60322,0.57794,0.37456,0.3786,0.23236,1.41061,1.8436,1.70091,0.00125923,0.00125923,0.00125923
8,731.866,1.37644,1.75778,1.57778,0.39102,0.44298,0.36594,0.23839,1.29372,1.69728,1.5971,0.00123094,0.00123094,0.00123094
9,821.87,1.34165,1.6801,1.5593,0.51137,0.42028,0.44042,0.29507,1.29015,1.5325,1.58699,0.00120265,0.00120265,0.00120265
10,912.304,1.30634,1.61402,1.53481,0.49319,0.4552,0.43635,0.27745,1.23629,1.5719,1.57025,0.00117435,0.00117435,0.00117435
11,1000.3,1.2839,1.5512,1.52367,0.46119,0.44218,0.42283,0.26608,1.30045,1.6865,1.63214,0.00114606,0.00114606,0.00114606
12,1088.27,1.25703,1.50691,1.51088,0.52718,0.45935,0.47017,0.31814,1.18552,1.52353,1.50827,0.00111776,0.00111776,0.00111776
13,1183.26,1.25176,1.45895,1.49634,0.56931,0.58208,0.60173,0.38716,1.18667,1.31865,1.49227,0.00108947,0.00108947,0.00108947
14,1277.35,1.22393,1.41486,1.47317,0.5809,0.456,0.52845,0.35493,1.14315,1.36844,1.48391,0.00106118,0.00106118,0.00106118
15,1365.9,1.2199,1.36416,1.45913,0.58483,0.51645,0.56251,0.36809,1.18817,1.45103,1.47795,0.00103288,0.00103288,0.00103288
16,1454.19,1.18306,1.31478,1.43965,0.62307,0.5876,0.61825,0.42315,1.15517,1.25823,1.48171,0.00100459,0.00100459,0.00100459
17,1548.03,1.16093,1.28422,1.43184,0.76285,0.581,0.68129,0.45382,1.11185,1.08211,1.43122,0.000976293,0.000976293,0.000976293
18,1641.93,1.15054,1.23929,1.42426,0.66515,0.64878,0.68771,0.44894,1.08945,1.10349,1.41053,0.000947999,0.000947999,0.000947999
19,1730.68,1.15975,1.22938,1.42414,0.69441,0.60723,0.64521,0.42293,1.12314,1.19127,1.46677,0.000919704,0.000919704,0.000919704
20,1818.69,1.12638,1.17961,1.39943,0.71449,0.6118,0.69214,0.45766,1.0977,1.12004,1.42339,0.00089141,0.00089141,0.00089141
21,1912.8,1.10947,1.14415,1.38104,0.7311,0.61125,0.67208,0.43482,1.09733,1.1801,1.45389,0.000863116,0.000863116,0.000863116
22,2000.95,1.10211,1.1449,1.39013,0.66241,0.62565,0.69412,0.43551,1.07688,1.24351,1.40364,0.000834822,0.000834822,0.000834822
23,2088.79,1.09172,1.09524,1.37639,0.73131,0.62914,0.70962,0.47931,1.04426,1.00328,1.38386,0.000806528,0.000806528,0.000806528
24,2182.4,1.08202,1.08009,1.36706,0.7526,0.67688,0.76378,0.52004,1.04091,0.90733,1.36684,0.000778233,0.000778233,0.000778233
